comparison,coordinate,count
exact_netcdf_only,1993-05-16 12:00:00,1
exact_netcdf_only,1993-06-16 00:00:00,1
exact_netcdf_only,1993-07-16 12:00:00,1
exact_netcdf_only,1993-08-16 12:00:00,1
exact_netcdf_only,1993-09-16 00:00:00,1
exact_netcdf_only,1993-10-16 12:00:00,1
exact_netcdf_only,1993-11-16 00:00:00,1
exact_netcdf_only,1993-12-16 12:00:00,1
exact_netcdf_only,1994-01-16 12:00:00,1
exact_netcdf_only,1994-02-15 00:00:00,1
exact_netcdf_only,1994-03-16 12:00:00,1
exact_netcdf_only,1994-04-16 00:00:00,1
exact_netcdf_only,1994-05-16 12:00:00,1
exact_netcdf_only,1994-06-16 00:00:00,1
exact_netcdf_only,1994-07-16 12:00:00,1
exact_netcdf_only,1994-08-16 12:00:00,1
exact_netcdf_only,1994-09-16 00:00:00,1
exact_netcdf_only,1994-10-16 12:00:00,1
exact_netcdf_only,1994-11-16 00:00:00,1
exact_netcdf_only,1994-12-16 12:00:00,1
exact_netcdf_only,1995-01-16 12:00:00,1
exact_netcdf_only,1995-02-15 00:00:00,1
exact_netcdf_only,1995-03-16 12:00:00,1
exact_netcdf_only,1995-04-16 00:00:00,1
exact_netcdf_only,1995-05-16 12:00:00,1
exact_netcdf_only,1995-06-16 00:00:00,1
exact_netcdf_only,1995-07-16 12:00:00,1
exact_netcdf_only,1995-08-16 12:00:00,1
exact_netcdf_only,1995-09-16 00:00:00,1
exact_netcdf_only,1995-10-16 12:00:00,1
exact_netcdf_only,1995-11-16 00:00:00,1
exact_netcdf_only,1995-12-16 12:00:00,1
exact_netcdf_only,1996-01-16 12:00:00,1
exact_netcdf_only,1996-02-15 12:00:00,1
exact_netcdf_only,1996-03-16 12:00:00,1
exact_netcdf_only,1996-04-16 00:00:00,1
exact_netcdf_only,1996-05-16 12:00:00,1
exact_netcdf_only,1996-06-16 00:00:00,1
exact_netcdf_only,1996-07-16 12:00:00,1
exact_netcdf_only,1996-08-16 12:00:00,1
exact_netcdf_only,1996-09-16 00:00:00,1
exact_netcdf_only,1996-10-16 12:00:00,1
exact_netcdf_only,1996-11-16 00:00:00,1
exact_netcdf_only,1996-12-16 12:00:00,1
exact_netcdf_only,1997-01-16 12:00:00,1
exact_netcdf_only,1997-02-15 00:00:00,1
exact_netcdf_only,1997-03-16 12:00:00,1
exact_netcdf_only,1997-04-16 00:00:00,1
exact_netcdf_only,1997-05-16 12:00:00,1
exact_netcdf_only,1997-06-16 00:00:00,1
exact_netcdf_only,1997-07-16 12:00:00,1
exact_netcdf_only,1997-08-16 12:00:00,1
exact_netcdf_only,1997-09-16 00:00:00,1
exact_netcdf_only,1997-10-16 12:00:00,1
exact_netcdf_only,1997-11-16 00:00:00,1
exact_netcdf_only,1997-12-16 12:00:00,1
exact_netcdf_only,1998-01-16 12:00:00,1
exact_netcdf_only,1998-02-15 00:00:00,1
exact_netcdf_only,1998-03-16 12:00:00,1
exact_netcdf_only,1998-04-16 00:00:00,1
exact_netcdf_only,1998-05-16 12:00:00,1
exact_netcdf_only,1998-06-16 00:00:00,1
exact_netcdf_only,1998-07-16 12:00:00,1
exact_netcdf_only,1998-08-16 12:00:00,1
exact_netcdf_only,1998-09-16 00:00:00,1
exact_netcdf_only,1998-10-16 12:00:00,1
exact_netcdf_only,1998-11-16 00:00:00,1
exact_netcdf_only,1998-12-16 12:00:00,1
exact_netcdf_only,1999-01-16 12:00:00,1
exact_netcdf_only,1999-02-15 00:00:00,1
exact_netcdf_only,1999-03-16 12:00:00,1
exact_netcdf_only,1999-04-16 00:00:00,1
exact_netcdf_only,1999-05-16 12:00:00,1
exact_netcdf_only,1999-06-16 00:00:00,1
exact_netcdf_only,1999-07-16 12:00:00,1
exact_netcdf_only,1999-08-16 12:00:00,1
exact_netcdf_only,1999-09-16 00:00:00,1
exact_netcdf_only,1999-10-16 12:00:00,1
exact_netcdf_only,1999-11-16 00:00:00,1
exact_netcdf_only,1999-12-16 12:00:00,1
exact_netcdf_only,2000-01-16 12:00:00,1
exact_netcdf_only,2000-02-15 12:00:00,1
exact_netcdf_only,2000-03-16 12:00:00,1
exact_netcdf_only,2000-04-16 00:00:00,1
exact_netcdf_only,2000-05-16 12:00:00,1
exact_netcdf_only,2000-06-16 00:00:00,1
exact_netcdf_only,2000-07-16 12:00:00,1
exact_netcdf_only,2000-08-16 12:00:00,1
exact_netcdf_only,2000-09-16 00:00:00,1
exact_netcdf_only,2000-10-16 12:00:00,1
exact_netcdf_only,2000-11-16 00:00:00,1
exact_netcdf_only,2000-12-16 12:00:00,1
exact_netcdf_only,2001-01-16 12:00:00,1
exact_netcdf_only,2001-02-15 00:00:00,1
exact_netcdf_only,2001-03-16 12:00:00,1
exact_netcdf_only,2001-04-16 00:00:00,1
exact_netcdf_only,2001-05-16 12:00:00,1
exact_netcdf_only,2001-06-16 00:00:00,1
exact_netcdf_only,2001-07-16 12:00:00,1
exact_netcdf_only,2001-08-16 12:00:00,1
exact_netcdf_only,2001-09-16 00:00:00,1
exact_netcdf_only,2001-10-16 12:00:00,1
exact_netcdf_only,2001-11-16 00:00:00,1
exact_netcdf_only,2001-12-16 12:00:00,1
exact_netcdf_only,2002-01-16 12:00:00,1
exact_netcdf_only,2002-02-15 00:00:00,1
exact_netcdf_only,2002-03-16 12:00:00,1
exact_netcdf_only,2002-04-16 00:00:00,1
exact_netcdf_only,2002-05-16 12:00:00,1
exact_netcdf_only,2002-06-16 00:00:00,1
exact_netcdf_only,2002-07-16 12:00:00,1
exact_netcdf_only,2002-08-16 12:00:00,1
exact_netcdf_only,2002-09-16 00:00:00,1
exact_netcdf_only,2002-10-16 12:00:00,1
exact_netcdf_only,2002-11-16 00:00:00,1
exact_netcdf_only,2002-12-16 12:00:00,1
exact_netcdf_only,2003-01-16 12:00:00,1
exact_netcdf_only,2003-02-15 00:00:00,1
exact_netcdf_only,2003-03-16 12:00:00,1
exact_netcdf_only,2003-04-16 00:00:00,1
exact_netcdf_only,2003-05-16 12:00:00,1
exact_netcdf_only,2003-06-16 00:00:00,1
exact_netcdf_only,2003-07-16 12:00:00,1
exact_netcdf_only,2003-08-16 12:00:00,1
exact_netcdf_only,2003-09-16 00:00:00,1
exact_netcdf_only,2003-10-16 12:00:00,1
exact_netcdf_only,2003-11-16 00:00:00,1
exact_netcdf_only,2003-12-16 12:00:00,1
exact_netcdf_only,2004-01-16 12:00:00,1
exact_netcdf_only,2004-02-15 12:00:00,1
exact_netcdf_only,2004-03-16 12:00:00,1
exact_netcdf_only,2004-04-16 00:00:00,1
exact_netcdf_only,2004-05-16 12:00:00,1
exact_netcdf_only,2004-06-16 00:00:00,1
exact_netcdf_only,2004-07-16 12:00:00,1
exact_netcdf_only,2004-08-16 12:00:00,1
exact_netcdf_only,2004-09-16 00:00:00,1
exact_netcdf_only,2004-10-16 12:00:00,1
exact_netcdf_only,2004-11-16 00:00:00,1
exact_netcdf_only,2004-12-16 12:00:00,1
exact_netcdf_only,2005-01-16 12:00:00,1
exact_netcdf_only,2005-02-15 00:00:00,1
exact_netcdf_only,2005-03-16 12:00:00,1
exact_netcdf_only,2005-04-16 00:00:00,1
exact_netcdf_only,2005-05-16 12:00:00,1
exact_netcdf_only,2005-06-16 00:00:00,1
exact_netcdf_only,2005-07-16 12:00:00,1
exact_netcdf_only,2005-08-16 12:00:00,1
exact_netcdf_only,2005-09-16 00:00:00,1
exact_netcdf_only,2005-10-16 12:00:00,1
exact_netcdf_only,2005-11-16 00:00:00,1
exact_netcdf_only,2005-12-16 12:00:00,1
exact_netcdf_only,2006-01-16 12:00:00,1
exact_netcdf_only,2006-02-15 00:00:00,1
exact_netcdf_only,2006-03-16 12:00:00,1
exact_netcdf_only,2006-04-16 00:00:00,1
exact_netcdf_only,2006-05-16 12:00:00,1
exact_netcdf_only,2006-06-16 00:00:00,1
exact_netcdf_only,2006-07-16 12:00:00,1
exact_netcdf_only,2006-08-16 12:00:00,1
exact_netcdf_only,2006-09-16 00:00:00,1
exact_netcdf_only,2006-10-16 12:00:00,1
exact_netcdf_only,2006-11-16 00:00:00,1
exact_netcdf_only,2006-12-16 12:00:00,1
exact_netcdf_only,2007-01-16 12:00:00,1
exact_netcdf_only,2007-02-15 00:00:00,1
exact_netcdf_only,2007-03-16 12:00:00,1
exact_netcdf_only,2007-04-16 00:00:00,1
exact_netcdf_only,2007-05-16 12:00:00,1
exact_netcdf_only,2007-06-16 00:00:00,1
exact_netcdf_only,2007-07-16 12:00:00,1
exact_netcdf_only,2007-08-16 12:00:00,1
exact_netcdf_only,2007-09-16 00:00:00,1
exact_netcdf_only,2007-10-16 12:00:00,1
exact_netcdf_only,2007-11-16 00:00:00,1
exact_netcdf_only,2007-12-16 12:00:00,1
exact_netcdf_only,2008-01-16 12:00:00,1
exact_netcdf_only,2008-02-15 12:00:00,1
exact_netcdf_only,2008-03-16 12:00:00,1
exact_netcdf_only,2008-04-16 00:00:00,1
exact_netcdf_only,2008-05-16 12:00:00,1
exact_netcdf_only,2008-06-16 00:00:00,1
exact_netcdf_only,2008-07-16 12:00:00,1
exact_netcdf_only,2008-08-16 12:00:00,1
exact_netcdf_only,2008-09-16 00:00:00,1
exact_netcdf_only,2008-10-16 12:00:00,1
exact_netcdf_only,2008-11-16 00:00:00,1
exact_netcdf_only,2008-12-16 12:00:00,1
exact_netcdf_only,2009-01-16 12:00:00,1
exact_netcdf_only,2009-02-15 00:00:00,1
exact_netcdf_only,2009-03-16 12:00:00,1
exact_netcdf_only,2009-04-16 00:00:00,1
exact_netcdf_only,2009-05-16 12:00:00,1
exact_netcdf_only,2009-06-16 00:00:00,1
exact_netcdf_only,2009-07-16 12:00:00,1
exact_netcdf_only,2009-08-16 12:00:00,1
exact_netcdf_only,2009-09-16 00:00:00,1
exact_netcdf_only,2009-10-16 12:00:00,1
exact_netcdf_only,2009-11-16 00:00:00,1
exact_netcdf_only,2009-12-16 12:00:00,1
exact_netcdf_only,2010-01-16 12:00:00,1
exact_netcdf_only,2010-02-15 00:00:00,1
exact_netcdf_only,2010-03-16 12:00:00,1
exact_netcdf_only,2010-04-16 00:00:00,1
exact_netcdf_only,2010-05-16 12:00:00,1
exact_netcdf_only,2010-06-16 00:00:00,1
exact_netcdf_only,2010-07-16 12:00:00,1
exact_netcdf_only,2010-08-16 12:00:00,1
exact_netcdf_only,2010-09-16 00:00:00,1
exact_netcdf_only,2010-10-16 12:00:00,1
exact_netcdf_only,2010-11-16 00:00:00,1
exact_netcdf_only,2010-12-16 12:00:00,1
exact_netcdf_only,2011-01-16 12:00:00,1
exact_netcdf_only,2011-02-15 00:00:00,1
exact_netcdf_only,2011-03-16 12:00:00,1
exact_netcdf_only,2011-04-16 00:00:00,1
exact_netcdf_only,2011-05-16 12:00:00,1
exact_netcdf_only,2011-06-16 00:00:00,1
exact_netcdf_only,2011-07-16 12:00:00,1
exact_netcdf_only,2011-08-16 12:00:00,1
exact_netcdf_only,2011-09-16 00:00:00,1
exact_netcdf_only,2011-10-16 12:00:00,1
exact_netcdf_only,2011-11-16 00:00:00,1
exact_netcdf_only,2011-12-16 12:00:00,1
exact_netcdf_only,2012-01-16 12:00:00,1
exact_netcdf_only,2012-02-15 12:00:00,1
exact_netcdf_only,2012-03-16 12:00:00,1
exact_netcdf_only,2012-04-16 00:00:00,1
exact_netcdf_only,2012-05-16 12:00:00,1
exact_netcdf_only,2012-06-16 00:00:00,1
exact_netcdf_only,2012-07-16 12:00:00,1
exact_netcdf_only,2012-08-16 12:00:00,1
exact_netcdf_only,2012-09-16 00:00:00,1
exact_netcdf_only,2012-10-16 12:00:00,1
exact_netcdf_only,2012-11-16 00:00:00,1
exact_netcdf_only,2012-12-16 12:00:00,1
exact_netcdf_only,2013-01-16 12:00:00,1
exact_netcdf_only,2013-02-15 00:00:00,1
exact_netcdf_only,2013-03-16 12:00:00,1
exact_netcdf_only,2013-04-16 00:00:00,1
exact_netcdf_only,2013-05-16 12:00:00,1
exact_netcdf_only,2013-06-16 00:00:00,1
exact_netcdf_only,2013-07-16 12:00:00,1
exact_netcdf_only,2013-08-16 12:00:00,1
exact_netcdf_only,2013-09-16 00:00:00,1
exact_netcdf_only,2013-10-16 12:00:00,1
exact_netcdf_only,2013-11-16 00:00:00,1
exact_netcdf_only,2013-12-16 12:00:00,1
exact_netcdf_only,2014-01-16 12:00:00,1
exact_netcdf_only,2014-02-15 00:00:00,1
exact_netcdf_only,2014-03-16 12:00:00,1
exact_netcdf_only,2014-04-16 00:00:00,1
exact_netcdf_only,2014-05-16 12:00:00,1
exact_netcdf_only,2014-06-16 00:00:00,1
exact_netcdf_only,2014-07-16 12:00:00,1
exact_netcdf_only,2014-08-16 12:00:00,1
exact_netcdf_only,2014-09-16 00:00:00,1
exact_netcdf_only,2014-10-16 12:00:00,1
exact_netcdf_only,2014-11-16 00:00:00,1
