frequency,json,num_netcdf_files,timesteps,dims,kerchunk_time,netcdf_time
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp119/mon/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp119.r108i1p1f1.Amon.tas.gr.v20200412.kerchunk.json,86,1032,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 1032}",0.2789687959593721,8.46587511501275
Amon,/global/cfs/projectdirs/m4931/kerchunk/pr/highres-future/mon/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1.highres-future.r3i1p1f2.Amon.pr.gr.v20200224.kerchunk.json,4,432,"{'time': 432, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",0.22123208199627697,0.40617933101020753
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp434/mon/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp434.r139i1p1f1.Amon.tas.gr.v20200412.kerchunk.json,86,1032,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 1032}",0.2579568619839847,8.307338741025887
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp370/mon/CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp370.r2i1p1f1.Amon.tas.gr.v20190119.kerchunk.json,1,1032,"{'time': 1032, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",0.5770673670340329,0.2571158250211738
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/mon/CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r122i1p1f1.Amon.tas.gr.v20200412.kerchunk.json,45,540,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 540}",0.2528281730483286,4.49323522701161
Amon,/global/cfs/projectdirs/m4931/kerchunk/ta/historical/mon/CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r19i1p1f1.Amon.ta.gr.v20210305.kerchunk.json,165,1980,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 1980, 'plev': 19}",0.33343812701059505,25.393940028967336
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp126/mon/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126.r144i1p1f1.Amon.tas.gr.v20210615.kerchunk.json,86,1032,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 1032}",0.21017075498821214,8.087060266989283
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/mon/CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r115i1p1f1.Amon.tas.gr.v20200412.kerchunk.json,45,540,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 540}",0.23644811200210825,4.118061106011737
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp245/mon/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp245.r13i1p1f2.Amon.tas.gr.v20210407.kerchunk.json,36,432,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 432}",0.2437869610148482,3.382462433015462
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp245/mon/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp245.r146i1p1f1.Amon.tas.gr.v20210401.kerchunk.json,86,1032,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 1032}",0.24370872497092932,7.664286275045015
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp370/mon/CMIP6.ScenarioMIP.E3SM-Project.E3SM-2-0.ssp370.r18i1p1f1.Amon.tas.gr.v20230913.kerchunk.json,2,1032,"{'lat': 180, 'bnds': 2, 'lon': 360, 'time': 1032}",0.20633215899579227,0.43184825498610735
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp119/mon/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg-LR.ssp119.r3i1p1f1.Amon.tas.gr.v20201201.kerchunk.json,86,1032,"{'lat': 160, 'bnds': 2, 'lon': 320, 'time': 1032}",0.273128301021643,6.825704343034886
