dataset_id,data_dir,kerchunk_file,frequency,variable,kerchunk_exists,status,skip_reason,error,netcdf_file_count,nfiles_bin,bin_selected_rank,remote_kerchunk_file,client_hostname,cache_mode,open_kerchunk,load_kerchunk,temporal_build_kerchunk,temporal_compute_kerchunk,spatial_build_kerchunk,spatial_compute_kerchunk,temporal_graph_tasks_kerchunk,size_gb_physical,open_ratio,load_ratio,temporal_compute_ratio,spatial_compute_ratio
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.hur.gn.v20181218,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/hur/gn/v20181218,/global/cfs/projectdirs/m4931/kerchunk/hur/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.hur.gn.v20181218.kerchunk.json,Amon,hur,True,ok,,,500,500-749,1,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/hur/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.hur.gn.v20181218.kerchunk.json,nid005186,warm,8.436328461990342,46.324478954513324,0.416063259501243,48.96458045899635,0.39832497501629405,49.04261950797809,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.hus.gn.v20181218,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/hus/gn/v20181218,/global/cfs/projectdirs/m4931/kerchunk/hus/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.hus.gn.v20181218.kerchunk.json,Amon,hus,True,ok,,,500,500-749,2,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/hus/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.hus.gn.v20181218.kerchunk.json,nid005186,warm,7.237119413999608,40.68599079201522,0.9083662240154808,43.3500584474823,1.1302149855036987,41.94666620901262,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.huss.gn.v20191015,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/huss/gn/v20191015,/global/cfs/projectdirs/m4931/kerchunk/huss/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.huss.gn.v20191015.kerchunk.json,Amon,huss,True,ok,,,500,500-749,3,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/huss/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.huss.gn.v20191015.kerchunk.json,nid005186,warm,1.4118056279839948,3.26102523249574,0.3467556730029173,3.8681233634852106,0.3653283210005611,4.574980288991355,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.pr.gn.v20191015,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/pr/gn/v20191015,/global/cfs/projectdirs/m4931/kerchunk/pr/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.pr.gn.v20191015.kerchunk.json,Amon,pr,True,ok,,,500,500-749,4,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/pr/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.pr.gn.v20191015.kerchunk.json,nid005186,warm,1.3319489790010266,2.386382875003619,0.3348090034996858,3.990139254499809,0.3280320545018185,4.156835657006013,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.psl.gn.v20181218,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/psl/gn/v20181218,/global/cfs/projectdirs/m4931/kerchunk/psl/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.psl.gn.v20181218.kerchunk.json,Amon,psl,True,ok,,,500,500-749,5,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/psl/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.psl.gn.v20181218.kerchunk.json,nid005186,warm,1.3610976049967576,2.2731358765013283,0.3262352930032648,3.8407833780074725,0.3263083975034533,3.720163877995219,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.ta.gn.v20181218,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/ta/gn/v20181218,/global/cfs/projectdirs/m4931/kerchunk/ta/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.ta.gn.v20181218.kerchunk.json,Amon,ta,True,ok,,,500,500-749,6,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/ta/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.ta.gn.v20181218.kerchunk.json,nid005186,warm,6.27950926849735,34.70315138550359,0.8159421559830662,39.66005477050203,0.6601041084941244,38.1887142380001,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.tas.gn.v20191015,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015,/global/cfs/projectdirs/m4931/kerchunk/tas/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.tas.gn.v20191015.kerchunk.json,Amon,tas,True,ok,,,500,500-749,7,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/tas/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.tas.gn.v20191015.kerchunk.json,nid005186,warm,1.4902368015027605,3.173488909509615,0.3449635675060563,3.829776041005971,0.3304999215033604,4.525512278996757,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.tasmax.gn.kerchunk.json,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tasmax/gn/v20181218,/global/cfs/projectdirs/m4931/kerchunk/tasmax/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.tasmax.gn.kerchunk.json,Amon,tasmax,True,ok,,,500,500-749,9,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/tasmax/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.tasmax.gn.kerchunk.json,nid005186,warm,1.4298262945085298,3.1948857709940057,0.3725066644983599,3.852682929500588,0.3343502270145109,4.640878567006439,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.tasmax.gn.v20181218,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tasmax/gn/v20181218,/global/cfs/projectdirs/m4931/kerchunk/tasmax/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.tasmax.gn.v20181218.kerchunk.json,Amon,tasmax,True,ok,,,500,500-749,8,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/tasmax/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.tasmax.gn.v20181218.kerchunk.json,nid005186,warm,1.4349132734932937,3.120185671490617,0.3480607575038448,3.862152663510642,0.3743304204981541,4.723433895997005,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.tasmin.gn.v20181218,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tasmin/gn/v20181218,/global/cfs/projectdirs/m4931/kerchunk/tasmin/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.tasmin.gn.v20181218.kerchunk.json,Amon,tasmin,True,ok,,,500,500-749,10,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/tasmin/piControl/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.piControl.r1i1p1f1.Amon.tasmin.gn.v20181218.kerchunk.json,nid005186,warm,3.0394969019980635,3.2618588199984515,0.7511444135161582,3.863645303004887,1.4851301939925179,4.577874870490632,,,,,,
